TRIGO SARRACENO ( Alforfon),Taza,1,75,1,150,2,300,TRIGO SARRACENO ( Alforfon),1 Taza,1 Taza,2 Taza,75,150,300
BULGOR,Taza,1,100,1,200,2,400,BULGOR,1 Taza,1 Taza,2 Taza,100,200,400
MIJO,Taza,1,80,1,160,2,240,MIJO,1 Taza,1 Taza,2 Taza,80,160,240
PAN TRIGO INTEGRAL,Unidad,1,50,1,100,2,150,PAN TRIGO INTEGRAL,1 Unidad,1 Unidad,2 Unidad,50,100,150
GALLETAS INTEGRALES,Unidad,4,25,7,42,10,60,GALLETAS INTEGRALES,4 Unidad,7 Unidad,10 Unidad,25,42,60
AMARANTO,cucharada,2,20,3,30,5,50,AMARANTO,2 cucharada,3 cucharada,5 cucharada,20,30,50
QUINOA,Taza,1,70,1,140,2,210,QUINOA,1 Taza,1 Taza,2 Taza,70,140,210
CENTENO (Harina),Taza,1,50,1,110,2,160,CENTENO (Harina),1 Taza,1 Taza,2 Taza,50,110,160
ESPELTA,Taza,1/2,125,1,250,1 1/2,375,ESPELTA,1/2 Taza,1 Taza,1 1/2 Taza,125,250,375
FIDEOS INTEGRALES,Taza,1,80,2,120,2,160,FIDEOS INTEGRALES,1 Taza,2 Taza,2 Taza,80,120,160
PAN SIN GLUTEN,Unidad,1,100,1,200,2,300,PAN SIN GLUTEN,1 Unidad,1 Unidad,2 Unidad,100,200,300
POLENTA,Taza,1,25,1,50,2,75,POLENTA,1 Taza,1 Taza,2 Taza,25,50,75
PAN INTEGRAL Molde,Unidad,1,40,2,80,3,100,PAN INTEGRAL Molde,1 Unidad,2 Unidad,3 Unidad,40,80,100
PAN PITA INTEGRAL,Unidad,1,45,2,90,2,130,PAN PITA INTEGRAL,1 Unidad,2 Unidad,2 Unidad,45,90,130
ARROZ CRUDO,Taza,1/2,35,1,70,1 1/2,100,ARROZ CRUDO,1/2 Taza,1 Taza,1 1/2 Taza,35,70,100
FIDEOS,Taza,1/2,40,1,80,2,120,FIDEOS,1/2 Taza,1 Taza,2 Taza,40,80,120
CHUCHOCA,cucharada,1 1/2,20,3,40,5,60,CHUCHOCA,1 1/2 cucharada,3 cucharada,5 cucharada,20,40,60
CHUÑO,cucharada,2,20,4,40,6,60,CHUÑO,2 cucharada,4 cucharada,6 cucharada,20,40,60
HARINA TRIGO,cucharada,2,20,4,40,6,60,HARINA TRIGO,2 cucharada,4 cucharada,6 cucharada,20,40,60
MAICENA,cucharada,2,20,4,40,6,60,MAICENA,2 cucharada,4 cucharada,6 cucharada,20,40,60
SEMOLA,cucharada,1 1/2,20,3,40,6,80,SEMOLA,1 1/2 cucharada,3 cucharada,6 cucharada,20,40,80
CUS CUS,Taza,1/2,25,1,50,1 1/2,75,CUS CUS,1/2 Taza,1 Taza,1 1/2 Taza,25,50,75
ARROZ COCIDO,Taza,1/2,65,1,130,2,200,ARROZ COCIDO,1/2 Taza,1 Taza,2 Taza,65,130,200
FIDEOS COCIDOS,Taza,1/2,40,1,80,1 1/2,120,FIDEOS COCIDOS,1/2 Taza,1 Taza,1 1/2 Taza,40,80,120
"MOTE, MAIZ,Taza,1/2,75,3/4,120,1,150,""MOTE, MAIZ"",1/2 Taza,45385 Taza,1 Taza,75,120,150"
"MOTE, TRIGO,Taza,1/2,80,1,160,1 1/2,240,""MOTE, TRIGO"",1/2 Taza,1 Taza,1 1/2 Taza,80,160,240"
Maiz,Taza,1/2,75,1,150,1 1/2,225,Maiz,1/2 Taza,1 Taza,1 1/2 Taza,75,150,225
PAN BLANCO MARRAQUETA/HALLULLA,Unidad,1/2,50,1,100,2,200,PAN BLANCO MARRAQUETA/HALLULLA,1/2 Unidad,1 Unidad,2 Unidad,50,100,200
PAN DE CENTENO,Unidad,1/2,50,1,100,1 1/2,150,PAN DE CENTENO,1/2 Unidad,1 Unidad,1 1/2 Unidad,50,100,150
PAN DULCE (HUEVO),Unidad,1/4,25,1/2,50,1,100,PAN DULCE (HUEVO),1/4 Unidad,45323 Unidad,1 Unidad,25,50,100
PAN AMASADO,Unidad,1/2,50,1,100,1,200,PAN AMASADO,1/2 Unidad,1 Unidad,1 Unidad,50,100,200
PAN PITA,Unidad,1/2,25,1,50,2,100,PAN PITA,1/2 Unidad,1 Unidad,2 Unidad,25,50,100
HARINA SARRACENO,Taza,1/4,8,1/2,16,1,32,HARINA SARRACENO,1/4 Taza,45323 Taza,1 Taza,8,16,32
HARINA INTEGRAL,Taza,1/2,25,1,150,2,300,HARINA INTEGRAL,1/2 Taza,1 Taza,2 Taza,25,150,300
HARINA ALMIDON MANDIOCA,Taza,1/4,13,1,52,2,105,HARINA ALMIDON MANDIOCA,1/4 Taza,1 Taza,2 Taza,13,52,105
HARINA ARROZ,Taza,0.5,25,1,50,,100,HARINA ARROZ,0.5 Taza,1 Taza, Taza,25,50,100
HARINA MAIZENA,cucharada,1/2,65,1,125,2,250,HARINA MAIZENA,1/2 cucharada,1 cucharada,2 cucharada,65,125,250
HARINA LINAZA,Taza,1/2,50,1,100,2,200,HARINA LINAZA,1/2 Taza,1 Taza,2 Taza,50,100,200
HARINA GARBANZOS,Taza,1/2,80,1,160,2,320,HARINA GARBANZOS,1/2 Taza,1 Taza,2 Taza,80,160,320
